Designator,Mid X,Mid Y,Rotation,Layer
C1,95.23119,-4.135,270.0,bottom
C10,70.94119,-16.645,270.0,bottom
C11,88.94119,-19.645,270.0,bottom
C12,106.93119,-21.15,270.0,bottom
C13,95.23119,-38.135,270.0,bottom
C14,77.23119,-36.635,270.0,bottom
C15,59.23119,-33.635,270.0,bottom
C16,41.23119,-36.635,270.0,bottom
C17,23.23119,-39.635,270.0,bottom
C18,5.23119,-39.635,270.0,bottom
C19,80.48119,-54.845,270.0,bottom
C2,77.23119,-2.635,270.0,bottom
C20,100.97119,-58.215,282.0,bottom
C21,112.77119,-55.705,204.0,bottom
C22,122.30119,-13.645,0.0,bottom
C23,122.22119,-17.605,0.0,bottom
C24,122.19119,-21.445,0.0,bottom
C3,59.23119,0.365,270.0,bottom
C4,41.23119,-2.635,270.0,bottom
C5,23.23119,-5.635,270.0,bottom
C6,5.23119,-5.635,270.0,bottom
C7,16.94119,-22.655,270.0,bottom
C8,34.93119,-22.635,270.0,bottom
C9,52.93119,-19.655,270.0,bottom
CH1,101.09119,-8.835,0.0,bottom
CH10,65.09119,-21.335,0.0,bottom
CH11,83.09119,-24.335,0.0,bottom
CH12,101.09119,-25.835,0.0,bottom
CH13,101.09119,-42.835,0.0,bottom
CH14,83.09119,-41.335,0.0,bottom
CH15,65.09119,-38.335,0.0,bottom
CH16,47.09119,-41.335,0.0,bottom
CH17,29.09119,-44.335,0.0,bottom
CH18,11.09119,-44.335,0.0,bottom
CH19,74.64119,-59.535,0.0,bottom
CH2,83.09119,-7.335,0.0,bottom
CH20,94.297856,-61.589972,12.0,bottom
CH21,114.668033,-62.916298,294.0,bottom
CH3,65.09119,-4.335,0.0,bottom
CH4,47.09119,-7.335,0.0,bottom
CH5,29.09119,-10.335,0.0,bottom
CH6,11.09119,-10.335,0.0,bottom
CH7,11.09119,-27.335,0.0,bottom
CH8,29.09119,-27.335,0.0,bottom
CH9,47.09119,-24.335,0.0,bottom
D1,107.08119,-14.885,270.0,bottom
D10,70.89119,-25.985,270.0,bottom
D11,88.89119,-28.985,270.0,bottom
D12,106.89119,-30.485,270.0,bottom
D13,106.89119,-47.485,270.0,bottom
D14,88.89119,-45.985,270.0,bottom
D15,70.89119,-42.985,270.0,bottom
D16,52.89119,-45.985,270.0,bottom
D17,34.89119,-48.985,270.0,bottom
D18,16.89119,-48.985,270.0,bottom
D19,80.49119,-64.185,270.0,bottom
D2,88.89119,-11.985,270.0,bottom
D20,99.05323,-67.354643,282.0,bottom
D21,121.295428,-59.463382,204.0,bottom
D22,116.45119,-44.875,0.0,top
D3,70.89119,-8.985,270.0,bottom
D4,52.89119,-11.985,270.0,bottom
D5,34.89119,-14.985,270.0,bottom
D6,16.89119,-14.985,270.0,bottom
D7,16.89119,-31.985,270.0,bottom
D8,34.89119,-31.985,270.0,bottom
D9,52.89119,-28.985,270.0,bottom
LED1,101.05619,-3.945,0.0,bottom
LED10,65.05619,-16.445,180.0,bottom
LED11,83.05619,-19.445,180.0,bottom
LED12,101.05619,-20.945,180.0,bottom
LED13,101.05619,-37.945,0.0,bottom
LED14,83.05619,-36.445,0.0,bottom
LED15,65.05619,-33.445,0.0,bottom
LED16,47.05619,-36.445,0.0,bottom
LED17,29.05619,-39.445,0.0,bottom
LED18,11.05619,-39.445,0.0,bottom
LED19,74.60619,-54.645,180.0,bottom
LED2,83.05619,-2.445,0.0,bottom
LED20,95.28031,-56.799555,192.0,bottom
LED21,110.186558,-60.95933,114.0,bottom
LED3,65.05619,0.555,0.0,bottom
LED4,47.05619,-2.445,0.0,bottom
LED5,29.05619,-5.445,0.0,bottom
LED6,11.05619,-5.445,0.0,bottom
LED7,11.05619,-22.445,180.0,bottom
LED8,29.05619,-22.445,180.0,bottom
LED9,47.05619,-19.445,180.0,bottom
R1,113.70119,-39.105,270.0,top
R2,117.37119,-39.155,270.0,top
R3,104.24119,-8.535,90.0,bottom
USB_C_1,126.90119,-41.335,90.0,top
