Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C3, C4, C5, C6, C7, C8, C9",1206,22,0.1µF,
"C23, C24, C25",1210,3,100uF,
"CH1, CH10, CH11, CH12, CH13, CH14, CH15, CH16, CH17, CH18, CH19, CH2, CH20, CH3, CH4, CH5, CH6, CH7, CH8, CH9",SW_choc_v1_HS_CPG135001S30_1u,20,choc_v1_SW_HS,
"CH21, CH22",SW_choc_v1_HS_CPG135001S30_1.5u,2,choc_v1_SW_HS,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,22,1N4148W,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_6028R,22,SK6812MINI-E,
"R1, R2",1206,2,100R,
R3,1206,1,47R,
U1,TRRS_PJ-320A,1,TRRS,
U2,SOT-23-5,1,74HCT1G125GW,
