Designator,Mid X,Mid Y,Rotation,Layer
C1,90.32,0.46,0.0,bottom
C10,71.85,-17.44,90.0,bottom
C11,89.84,-18.95,90.0,bottom
C12,106.94,-21.62,90.0,bottom
C13,90.1,-36.24,270.0,bottom
C14,72.06,-34.82,270.0,bottom
C15,54.08,-32.1,270.0,bottom
C16,35.99,-35.62,270.0,bottom
C17,18.39,-36.01,0.0,bottom
C18,1.39,-38.22,270.0,bottom
C19,81.36,-52.0,90.0,bottom
C2,72.04,-0.75,270.0,bottom
C20,101.94,-56.4,102.0,bottom
C21,112.11,-69.16,204.0,bottom
C22,127.44,-78.95,216.0,bottom
C23,122.05,-12.24,0.0,bottom
C24,122.05,-16.5,0.0,bottom
C25,122.0,-21.0,0.0,bottom
C3,53.95,-0.38,270.0,bottom
C4,36.02,-3.29,270.0,bottom
C5,17.94,0.17,0.0,bottom
C6,0.86,-4.36,270.0,bottom
C7,17.15,-20.84,270.0,bottom
C8,35.21,-20.84,270.0,bottom
C9,51.72,-19.41,0.0,bottom
CH1,99.0,-7.0,0.0,bottom
CH10,63.0,-19.5,0.0,bottom
CH11,81.0,-22.5,0.0,bottom
CH12,99.0,-24.0,0.0,bottom
CH13,99.0,-41.0,0.0,bottom
CH14,81.0,-39.5,0.0,bottom
CH15,63.0,-36.5,0.0,bottom
CH16,45.0,-39.5,0.0,bottom
CH17,27.0,-42.5,0.0,bottom
CH18,9.0,-42.5,0.0,bottom
CH19,72.5,-57.0,0.0,bottom
CH2,81.0,-5.5,0.0,bottom
CH20,92.17,-59.06,12.0,bottom
CH21,112.54,-60.43,114.0,bottom
CH22,129.744915,-70.341074,126.0,bottom
CH3,63.0,-2.5,0.0,bottom
CH4,45.0,-5.5,0.0,bottom
CH5,27.0,-8.5,0.0,bottom
CH6,9.0,-8.5,0.0,bottom
CH7,9.0,-25.5,0.0,bottom
CH8,27.0,-25.5,0.0,bottom
CH9,45.0,-22.5,0.0,bottom
D1,102.09,-7.7,270.0,bottom
D10,66.18,-20.4625,270.0,bottom
D11,84.14,-23.04,270.0,bottom
D12,102.23,-24.6125,270.0,bottom
D13,102.1,-41.6,270.0,bottom
D14,84.13,-40.14,270.0,bottom
D15,66.18,-37.06,270.0,bottom
D16,48.25,-39.9825,270.0,bottom
D17,30.21,-43.3525,270.0,bottom
D18,12.17,-43.2925,270.0,bottom
D19,75.7,-57.97,270.0,bottom
D2,84.15,-6.7325,270.0,bottom
D20,95.18,-60.22,282.0,bottom
D21,111.13,-63.24,24.0,bottom
D22,127.41,-72.74,36.0,bottom
D3,66.19,-3.22,270.0,bottom
D4,48.17,-6.03,270.0,bottom
D5,30.18,-9.27,270.0,bottom
D6,12.14,-9.42,270.0,bottom
D7,12.14,-25.9925,270.0,bottom
D8,30.09,-26.6025,270.0,bottom
D9,48.23,-23.09,270.0,bottom
LED1,99.0,-2.0,0.0,bottom
LED10,63.0,-14.5,180.0,bottom
LED11,81.0,-17.5,180.0,bottom
LED12,99.0,-19.0,180.0,bottom
LED13,99.0,-36.0,0.0,bottom
LED14,81.0,-34.5,0.0,bottom
LED15,63.0,-31.5,0.0,bottom
LED16,45.0,-34.5,0.0,bottom
LED17,27.0,-37.5,0.0,bottom
LED18,9.0,-37.5,0.0,bottom
LED19,72.5,-52.0,180.0,bottom
LED2,81.0,-0.5,0.0,bottom
LED20,93.209559,-54.169262,192.0,bottom
LED21,117.107727,-62.463683,294.0,bottom
LED22,133.74,-73.28,306.0,bottom
LED3,63.0,2.5,0.0,bottom
LED4,45.0,-0.5,0.0,bottom
LED5,27.0,-3.5,0.0,bottom
LED6,9.0,-3.5,0.0,bottom
LED7,9.0,-20.5,180.0,bottom
LED8,27.0,-20.5,180.0,bottom
LED9,45.0,-17.5,180.0,bottom
R1,113.484915,-33.841074,270.0,bottom
R2,109.51,-33.89,270.0,bottom
R3,116.0,-14.0,90.0,bottom
U1,122.0925,-34.19,270.0,top
U2,116.62,-19.23,0.0,bottom
