Designator,Mid X,Mid Y,Rotation,Layer
C1,99.564428,-43.128326,180.0,bottom
C10,117.694428,-60.768326,90.0,bottom
C11,99.564428,-63.268326,90.0,bottom
C12,83.494428,-63.948326,90.0,bottom
C13,99.474428,-80.958326,270.0,bottom
C14,117.534428,-77.878326,90.0,bottom
C15,135.494428,-78.878326,90.0,bottom
C16,153.594428,-81.548326,90.0,bottom
C17,171.564428,-79.678326,90.0,bottom
C18,188.294428,-80.808326,90.0,bottom
C19,108.054428,-96.658326,90.0,bottom
C2,117.5,-45.0,90.0,bottom
C20,88.794428,-100.578326,78.0,bottom
C21,76.134428,-114.268326,336.0,bottom
C22,61.004428,-123.458326,324.0,bottom
C23,69.524428,-56.848326,0.0,bottom
C24,69.524428,-61.108326,0.0,bottom
C25,69.574428,-65.608326,0.0,bottom
C3,135.494428,-45.0,270.0,bottom
C4,153.544428,-48.138326,270.0,bottom
C5,171.624428,-44.148326,180.0,bottom
C6,188.444428,-48.298326,270.0,bottom
C7,171.474428,-65.258326,90.0,bottom
C8,153.184428,-63.788326,90.0,bottom
C9,135.564428,-65.808326,90.0,bottom
CH1,90.564428,-51.488326,0.0,bottom
CH10,126.564428,-63.988326,0.0,bottom
CH11,108.564428,-66.988326,0.0,bottom
CH12,90.564428,-68.488326,0.0,bottom
CH13,90.564428,-85.488326,0.0,bottom
CH14,108.564428,-83.988326,0.0,bottom
CH15,126.564428,-80.988326,0.0,bottom
CH16,144.564428,-83.988326,0.0,bottom
CH17,162.564428,-86.988326,0.0,bottom
CH18,180.564428,-86.988326,0.0,bottom
CH19,117.064428,-101.488326,0.0,bottom
CH2,108.564428,-49.988326,0.0,bottom
CH20,97.394428,-103.548326,348.0,bottom
CH21,77.024428,-104.918326,246.0,bottom
CH22,59.819513,-114.8294,234.0,bottom
CH3,126.564428,-46.988326,0.0,bottom
CH4,144.564428,-49.988326,0.0,bottom
CH5,162.564428,-52.988326,0.0,bottom
CH6,180.564428,-52.988326,0.0,bottom
CH7,180.564428,-69.988326,0.0,bottom
CH8,162.564428,-69.988326,0.0,bottom
CH9,144.564428,-66.988326,0.0,bottom
D1,93.734428,-52.938326,270.0,bottom
D10,129.694428,-64.738326,270.0,bottom
D11,111.724428,-68.238326,270.0,bottom
D12,93.724428,-69.870826,270.0,bottom
D13,93.734428,-86.818326,270.0,bottom
D14,111.724428,-85.178326,270.0,bottom
D15,129.824428,-82.048326,270.0,bottom
D16,147.654428,-84.938326,270.0,bottom
D17,165.754428,-88.400826,270.0,bottom
D18,183.764428,-87.960826,270.0,bottom
D19,120.274428,-102.208326,270.0,bottom
D2,111.744428,-51.048326,270.0,bottom
D20,100.554428,-103.328326,258.0,bottom
D21,75.734428,-101.858326,156.0,bottom
D22,57.734428,-111.968326,144.0,bottom
D3,129.734428,-47.938326,270.0,bottom
D4,147.724428,-50.888326,270.0,bottom
D5,165.764428,-54.458326,270.0,bottom
D6,183.764428,-54.018326,270.0,bottom
D7,183.754428,-71.078326,270.0,bottom
D8,165.714428,-70.990826,270.0,bottom
D9,147.664428,-67.618326,270.0,bottom
LED1,90.564428,-46.488326,180.0,bottom
LED10,126.564428,-58.988326,0.0,bottom
LED11,108.564428,-61.988326,0.0,bottom
LED12,90.564428,-63.488326,0.0,bottom
LED13,90.564428,-80.488326,180.0,bottom
LED14,108.564428,-78.988326,180.0,bottom
LED15,126.564428,-75.988326,180.0,bottom
LED16,144.564428,-78.988326,180.0,bottom
LED17,162.564428,-81.988326,180.0,bottom
LED18,180.564428,-81.988326,180.0,bottom
LED19,117.064428,-96.488326,0.0,bottom
LED2,108.564428,-44.988326,180.0,bottom
LED20,96.354869,-98.657588,348.0,bottom
LED21,72.456701,-106.952009,246.0,bottom
LED22,55.824428,-117.768326,234.0,bottom
LED3,126.564428,-41.988326,180.0,bottom
LED4,144.564428,-44.988326,180.0,bottom
LED5,162.564428,-47.988326,180.0,bottom
LED6,180.564428,-47.988326,180.0,bottom
LED7,180.564428,-64.988326,0.0,bottom
LED8,162.564428,-64.988326,0.0,bottom
LED9,144.564428,-61.988326,0.0,bottom
R1,76.079513,-78.3294,270.0,bottom
R2,80.054428,-78.378326,270.0,bottom
R3,74.484428,-50.848326,90.0,bottom
U1,67.641929,-78.318326,270.0,bottom
U2,70.271928,-52.218326,90.0,bottom
