Designator,Mid X,Mid Y,Rotation,Layer
C1,135.34,-35.17,270.0,bottom
C10,114.85,-47.655,270.0,bottom
C11,133.43,-53.605,90.0,bottom
C12,149.87,-51.19,90.0,bottom
C13,135.32,-70.205,270.0,bottom
C14,116.18,-67.67,270.0,bottom
C15,98.01,-68.85,270.0,bottom
C16,80.11,-68.47,270.0,bottom
C17,63.07,-71.85,270.0,bottom
C18,46.25,-71.25,270.0,bottom
C19,127.48,-84.85,90.0,bottom
C2,117.01,-33.61,270.0,bottom
C20,148.06,-89.25,102.0,bottom
C21,158.23,-102.01,204.0,bottom
C3,99.31,-30.85,270.0,bottom
C4,82.31,-33.19,270.0,bottom
C5,63.18,-36.67,270.0,bottom
C6,46.5,-36.75,270.0,bottom
C7,62.07,-55.455,270.0,bottom
C8,79.33,-53.69,270.0,bottom
C9,97.06,-50.07,270.0,bottom
CH1,143.12,-39.85,0.0,bottom
CH10,107.12,-52.35,0.0,bottom
CH11,125.12,-55.35,0.0,bottom
CH12,143.12,-56.85,0.0,bottom
CH13,143.12,-73.85,0.0,bottom
CH14,125.12,-72.35,0.0,bottom
CH15,107.12,-69.35,0.0,bottom
CH16,89.12,-72.35,0.0,bottom
CH17,71.12,-75.35,0.0,bottom
CH18,53.12,-75.35,0.0,bottom
CH19,118.62,-89.85,0.0,bottom
CH2,125.12,-38.35,0.0,bottom
CH20,138.29,-91.91,12.0,bottom
CH21,158.66,-93.28,114.0,bottom
CH3,107.12,-35.35,0.0,bottom
CH4,89.12,-38.35,0.0,bottom
CH5,71.12,-41.35,0.0,bottom
CH6,53.12,-41.35,0.0,bottom
CH7,53.12,-58.35,0.0,bottom
CH8,71.12,-58.35,0.0,bottom
CH9,89.12,-55.35,0.0,bottom
D1,146.21,-40.55,270.0,bottom
D10,110.3,-53.3125,270.0,bottom
D11,128.26,-55.89,270.0,bottom
D12,146.35,-57.4625,270.0,bottom
D13,146.22,-74.45,270.0,bottom
D14,128.25,-72.99,270.0,bottom
D15,110.3,-69.91,270.0,bottom
D16,92.37,-72.8325,270.0,bottom
D17,74.33,-76.2025,270.0,bottom
D18,56.29,-76.1425,270.0,bottom
D19,121.82,-90.82,270.0,bottom
D2,128.12,-38.87,270.0,bottom
D20,141.3,-93.07,282.0,bottom
D21,157.25,-96.09,24.0,bottom
D3,110.31,-36.07,270.0,bottom
D4,92.29,-38.88,270.0,bottom
D5,74.3,-42.12,270.0,bottom
D6,56.26,-42.27,270.0,bottom
D7,56.26,-58.8425,270.0,bottom
D8,74.21,-59.4525,270.0,bottom
D9,92.35,-55.94,270.0,bottom
J1,165.29,-65.38,180.0,top
LED1,143.12,-34.85,0.0,bottom
LED10,107.12,-47.35,180.0,bottom
LED11,125.12,-50.35,180.0,bottom
LED12,143.12,-51.85,180.0,bottom
LED13,143.12,-68.85,0.0,bottom
LED14,125.12,-67.35,0.0,bottom
LED15,107.12,-64.35,0.0,bottom
LED16,89.12,-67.35,0.0,bottom
LED17,71.12,-70.35,0.0,bottom
LED18,53.12,-70.35,0.0,bottom
LED19,118.62,-84.85,180.0,bottom
LED2,125.12,-33.35,0.0,bottom
LED20,139.3296,-87.0193,192.0,bottom
LED21,163.2277,-95.3137,294.0,bottom
LED3,107.12,-30.35,0.0,bottom
LED4,89.12,-33.35,0.0,bottom
LED5,71.12,-36.35,0.0,bottom
LED6,53.12,-36.35,0.0,bottom
LED7,53.12,-53.35,180.0,bottom
LED8,71.12,-53.35,180.0,bottom
LED9,89.12,-50.35,180.0,bottom
R1,155.81,-66.52,180.0,top
R2,155.82,-69.51,180.0,top
R3,162.88,-45.49,0.0,bottom
