Designator,Mid X,Mid Y,Rotation,Layer
C1,113.445,-73.06,90.0,bottom
C10,133.515,-85.6,90.0,bottom
C11,114.275,-91.11,90.0,bottom
C12,99.085,-90.02,90.0,bottom
C13,113.265,-107.93,90.0,bottom
C14,130.985,-105.35,270.0,bottom
C15,150.485,-107.85,270.0,bottom
C16,167.055,-105.55,90.0,bottom
C17,186.465,-109.66,90.0,bottom
C18,202.265,-108.46,270.0,bottom
C19,120.93,-122.71,90.0,bottom
C2,131.205,-71.49,270.0,bottom
C20,100.35,-127.11,270.0,bottom
C21,88.625,-139.3,0.0,bottom
C3,148.745,-68.54,90.0,bottom
C4,167.095,-71.55,90.0,bottom
C5,185.105,-74.54,90.0,bottom
C6,201.925,-74.57,270.0,bottom
C7,189.105,-92.46,90.0,bottom
C8,169.605,-90.44,90.0,bottom
C9,151.505,-88.42,90.0,bottom
CH1,105.29,-77.71,0.0,bottom
CH10,141.29,-90.21,0.0,bottom
CH11,123.29,-93.21,0.0,bottom
CH12,105.29,-94.71,0.0,bottom
CH13,105.29,-111.71,0.0,bottom
CH14,123.29,-110.21,0.0,bottom
CH15,141.29,-107.21,0.0,bottom
CH16,159.29,-110.21,0.0,bottom
CH17,177.29,-113.21,0.0,bottom
CH18,195.29,-113.21,0.0,bottom
CH19,129.79,-127.71,0.0,bottom
CH2,123.29,-76.21,0.0,bottom
CH20,110.12,-129.77,348.0,bottom
CH21,89.75,-131.14,246.0,bottom
CH3,141.29,-73.21,0.0,bottom
CH4,159.29,-76.21,0.0,bottom
CH5,177.29,-79.21,0.0,bottom
CH6,195.29,-79.21,0.0,bottom
CH7,195.29,-96.21,0.0,bottom
CH8,177.29,-96.21,0.0,bottom
CH9,159.29,-93.21,0.0,bottom
D1,108.455,-77.71,270.0,bottom
D10,144.525,-90.21,270.0,bottom
D11,126.485,-93.21,270.0,bottom
D12,108.445,-94.7325,270.0,bottom
D13,108.525,-111.7325,270.0,bottom
D14,126.425,-110.2325,270.0,bottom
D15,144.475,-107.2325,270.0,bottom
D16,162.495,-110.21,270.0,bottom
D17,180.495,-113.2325,270.0,bottom
D18,198.505,-113.21,270.0,bottom
D19,86.695,-117.88,270.0,bottom
D2,126.475,-76.2325,270.0,bottom
D20,83.745,-117.8575,270.0,bottom
D21,80.825,-117.83,270.0,bottom
D3,144.425,-73.21,270.0,bottom
D4,162.455,-76.2325,270.0,bottom
D5,180.475,-79.21,270.0,bottom
D6,198.465,-79.21,270.0,bottom
D7,198.455,-96.21,270.0,bottom
D8,180.515,-96.2325,270.0,bottom
D9,162.475,-93.2325,270.0,bottom
J1,83.12,-103.24,0.0,top
LED1,105.29,-72.71,180.0,bottom
LED10,141.29,-85.21,0.0,bottom
LED11,123.29,-88.21,0.0,bottom
LED12,105.29,-89.71,0.0,bottom
LED13,105.29,-106.71,180.0,bottom
LED14,123.29,-105.21,180.0,bottom
LED15,141.29,-102.21,180.0,bottom
LED16,159.29,-105.21,180.0,bottom
LED17,177.29,-108.21,180.0,bottom
LED18,195.29,-108.21,180.0,bottom
LED19,129.79,-122.71,0.0,bottom
LED2,123.29,-71.21,180.0,bottom
LED20,109.0804,-124.8793,348.0,bottom
LED21,85.1823,-133.1737,66.0,bottom
LED3,141.29,-68.21,180.0,bottom
LED4,159.29,-71.21,180.0,bottom
LED5,177.29,-74.21,180.0,bottom
LED6,195.29,-74.21,180.0,bottom
LED7,195.29,-91.21,0.0,bottom
LED8,177.29,-91.21,0.0,bottom
LED9,159.29,-88.21,0.0,bottom
R1,91.545,-102.72,180.0,top
R2,91.545,-100.19,180.0,top
R3,86.525,-81.49,180.0,bottom
